cond,cond_dur,Motivation,Direction,FreeText,test_score,test_dur,test_ffe1_1,test_ffe1_2,test_ffe1_3,test_ffe2_1,test_ffe2_2,test_ffe2_3,test_ffe3_1,test_ffe3_2,test_ffe3_3,test_ffe4_1,test_ffe4_2,test_ffe4_3,Usability,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation
Exp,1066.739,6,9,"I had a strategy to choose the factor I thought would be influential first, then others that link to that. I did find the design of the game a little confusing, though.",12,532.739,BMI,Education,Worry,Exercise,Sleeplessness,Worry,Loneliness,Wellbeing,Worry,BMI,Smoking,Education,85,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1
Ctr,206.278,6,6,Found it a bit confusing but interesting,18,839.987,Sleeplessness,Depression,Worry,Smoking,Education,Sleeplessness,Alcohol,Intelligence,Not socialising,Smoking,Education,Neuroticism,40,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0
Ctr,186.571,4,6,I didn't understand what I was supposed to do with the software.,15,838.034,Not socialising,NA,NA,Worry,NA,NA,BMI,NA,NA,BMI,NA,NA,50,1,1,1,NA,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Ctr,54.622,9,8,no,17,1251.109,Exercise,NA,NA,Loneliness,NA,NA,CHD,NA,NA,Diabetes,NA,NA,59,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
Exp,104.408,6,6,"I found the game difficult to understand, and couldn't work out a strategy that worked for me.",20,691.312,Sleeplessness,Depression,Worry,Intelligence,Education,Sleeplessness,BMI,Education,NA,Intelligence,BMI,Diabetes,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Exp,2218.333,6,9,"To be honest, I found the software a bit confusing. Sometimes I won even though I accidentally lowered/increased a specific trait/behaviour when I was supposed to do the opposite. Some effects did not really make sense to me and sometimes it was not possible to affect a trait in a specifc way - or it was and I did not understand how to. I did like the concept of competing against a computer and having to find the best interventions etc, though. I feel like if I understood the game better, I would have memorized the effects. I always judged based on the causal relationships. As soon as it was possible to select multiple interventions, I tried to see what affects a specific trait directly and indirectly (and how).",20,1914.7179999999998,Sleeplessness,Depression,Worry,Intelligence,Education,NA,BMI,Education,NA,Intelligence,BMI,Education,35,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
Ctr,383.712,6,5,"It was interesting to use and made key relationships easy to explore. I did find it difficult to understand the overarching aim of the software and what my true 'goal' was. I thought it was memorable, as the relationships were shown in a visually appealing way that caught my attention.",16,1138.602,Sleeplessness,Depression,Worry,Intelligence,Education,NA,Education,NA,NA,BMI,Diabetes,Sleeplessness,67,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
Ctr,17.842,4,6,Reduced all bad traits first,17,1030.692,Depression,Worry,NA,Intelligence,NA,NA,BMI,NA,NA,BMI,Diabetes,Smoking,40,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
Exp,2358.348,5,6,I just tried to think of what would make the most impact and kept note of what the computer used. I waas surprised how some things linked more than others.,19,2416.806,Sleeplessness,Depression,Worry,Alcohol,BMI,Sleeplessness,Education,NA,NA,Intelligence,Education,NA,50,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
Exp,762.2,5,5,EDUCATION ALWAYS IMPOVED INTELLIGENCE,12,531.923,Alcohol,Intelligence,Exercise,Exercise,Wellbeing,Depression,Alcohol,Depression,Worry,BMI,Diabetes,Smoking,34,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1
Exp,359.231,6,8,The format was a good motivator,18,951.372,Sleeplessness,Depression,Worry,Wellbeing,NA,NA,Education,NA,NA,Education,NA,NA,41,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Exp,1888.283,5,4,"In terms of strategy, I tried to make the biggest changes in the least moves possible. I liked how the effects weren't always that obvious and you had to think about how slight changes can make an impact on more than one thing. thought the game layout and system was great :)",16,1036.302,Loneliness,Depression,Worry,Education,Wellbeing,Worry,Intelligence,Exercise,BMI,BMI,Diabetes,Sleeplessness,86,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Exp,1689.863,5,6,"It took me a little time to get the hang of the game, and sometimes it was a challenge to influence something indirectly. Placing the game in space is an interesting choice, I'm not sure why it was done, although it is an appealing background, but perhaps does not aid clarity. I like the music.",15,561.8489999999999,Sleeplessness,Depression,Worry,Intelligence,Education,Sleeplessness,BMI,Education,NA,Exercise,Diabetes,Smoking,76,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
Ctr,81.023,5,5,not really. i think it was very exciting and i enjoyed it,17,1200.769,Sleeplessness,Loneliness,Neuroticism,Exercise,Coffee intake,BMI,Wellbeing,Depression,Worry,BMI,Diabetes,Smoking,95,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
Ctr,45.746,9,9,Not sure it worked properly for me as i was using a tablet so couldn’t ‘hover’ so was just clicking (pretty randomly) and seeing what changed and what had effects in what,18,1570.5400000000002,Depression,NA,NA,Alcohol,NA,NA,Education,NA,NA,BMI,NA,NA,18,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0
Ctr,18.921,5,5,"At first I hovered over the negative traits and followed lines of causation (what they were caused by). Then I tried to find common links between causes of bad traits, in order to reduce them. Increasing education had one of the most positive effects in reducing negative traits and increasing positive ones. I enjoyed the user interface and the challenge of the software.",18,506.953,Neuroticism,Depression,Worry,Exercise,NA,NA,Education,NA,NA,Exercise,NA,NA,70,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
Exp,1305.523,6,6,"I found it very mesmerising but challenging at times, I pressed the icons that I thought was related to the task.",16,813.735,Depression,Worry,NA,Intelligence,NA,NA,Education,NA,NA,Education,NA,NA,37,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1
Ctr,453.567,4,7,"I thought that it was really engaging and interesting. I manipulated postive areas e.g ""education"" to notice the impact of an increase education, and also tried the other approach of trying to reduce negative ones such as ""insomnia"", which is probably less practical, but the impact was dramatic in terms of mental health outcomes. I think it could be improved with more prompts in the UI or help section. The only limitation was not being able manipulate all areas easily with interventions. So interesting and fun though!",16,1524.266,Sleeplessness,Loneliness,Worry,Loneliness,Wellbeing,NA,Intelligence,Education,NA,Intelligence,Exercise,Education,78,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1
Ctr,231.785,5,6,"I did not have a strategy, I just pressed the buttons to see what would happen in each occasion. I found it memorable that when education increases, BMI,exercise, neuroticism and smoking habits decrease, while intelligence, social interactions and coffee consumption increase",17,1392.842,Loneliness,Depression,Worry,Alcohol,BMI,Loneliness,Alcohol,BMI,NA,BMI,Diabetes,Sleeplessness,60,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1
Exp,2921.552,7,7,I have a strategy when the experiment go into later. I don't know how to conduct it at the beggining,10,508.167,Not socialising,NA,NA,Loneliness,NA,NA,Education,NA,NA,Education,NA,NA,51,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Exp,2019.868,5,5,"My method mostly involved memorising the computer's tac tics. Thought some of the game was a bit confusing e.g., what does eveningness mean? I was also mislead/confused about using interventions for emotions - i didn't realise you could intervene on 'wellbeing', 'depression', 'loneliness' etc. until a lot later in the game (though learning). It was interesting to see which combinations were the most effective.",20,1300.603,Depression,Worry,NA,Intelligence,Education,NA,Not socialising,NA,NA,Education,Sleeplessness,Worry,79,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1
Ctr,82.615,10,10,I found the package very interactive and easy to use. It was fun. I liked the visualisation of the intevrentions,16,525.131,Coffee intake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
Exp,1592.546,7,8,"I found it difficult to understand how to play, and what was asked of us. The graphics didn't make too much sense, I was confused by the arrows and I wasn't sure what I had to do. I was discovering the game as i was playing. Overall, it was stimulating because I have learnt some things about public health policies and which are best for a specific issue.",13,1096.925,Sleeplessness,Depression,Worry,Intelligence,NA,NA,Education,NA,NA,BMI,Diabetes,NA,26,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0
Exp,1903.41,6,6,I tried pick the interventions that are most effective,14,568.147,Not socialising,Loneliness,Depression,Eveningness,Intelligence,Wellbeing,Intelligence,Exercise,Education,Alcohol,BMI,Diabetes,51,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0
Ctr,292.741,4,5,"The strategy adopted was to focus on core interventions, before focusing in on smaller elements to mitigate the side-effects of larger interventions and further enhance their strength",18,1814.865,Alcohol,Education,Sleeplessness,Education,Loneliness,Depression,Exercise,Education,Depression,Exercise,Diabetes,Education,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0
Ctr,84.56299999999999,5,9,"It felt a bit buggy at times, but enjoyed the reactions and ease of access",15,1124.8700000000001,Exercise,Depression,Worry,Intelligence,BMI,Education,BMI,Education,Sleeplessness,Exercise,Education,Depression,100,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0
Exp,1888.431,5,6,"At first, it is a little bit confused about the blue line and read line as well as how these traits are influenced by each other. I tried to remember some answers (best strategies of computer) and analyse it, that is really helpful.  I am impressed that alcohol could improve evenings, education would increase many good traits.  One thing that really confused me is the interaction of increase and decrease, as these lines are very complicated.",17,1311.792,Sleeplessness,Depression,Worry,Intelligence,BMI,Education,BMI,Education,NA,Intelligence,BMI,Education,60,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
Ctr,20.476,5,5,"the sounds were interesting, the presentation was intense",19,1481.942,Education,Sleeplessness,Neuroticism,Eveningness,Loneliness,NA,BMI,Education,NA,Education,Sleeplessness,NA,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1
Exp,932.032,5,5,didn't feel anything was at stake so had no trouble guessing without mercy,15,2646.4719999999998,Exercise,NA,NA,Loneliness,NA,NA,Education,NA,NA,Exercise,NA,NA,74,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1
Exp,1345.989,5,5,"To start with I was intervening on things that were closely linked to the objective, but after a while I realised that intervening on more indirect things such as loneliness would have a bigger knock-on effect. I thought the presentation of the game was quite nice, visual design was pleasing, there was humour in the instructions and the music was calming.",20,1180.7069999999999,Sleeplessness,Loneliness,Worry,Education,Sleeplessness,Loneliness,Exercise,BMI,Loneliness,BMI,Education,Loneliness,90,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
Exp,172.886,5,6,I found it distracting that the effect of one intervention would flash all over the place while I was trying to choose another,16,513.558,Alcohol,Intelligence,Exercise,Diabetes,CHD,Smoking,BMI,Diabetes,CHD,Not socialising,BMI,Diabetes,57,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Ctr,35.441,4,4,"I enjoyed clicking on different elements and seeing their effect. However, some effects happened so quickly that it was hard to follow and I did not find all interactions particularly memorable.",19,728.267,Worry,NA,NA,Education,NA,NA,Education,NA,NA,Education,NA,NA,80,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
Exp,1839.776,6,7,I kind of form some strategy but it doesn't always work. About level 5 I finally realize some policy are memorable.,16,1292.155,Alcohol,BMI,CHD,Alcohol,Intelligence,BMI,BMI,Education,NA,BMI,Diabetes,Education,22,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Ctr,88.543,7,8,Intuitive choices,17,1227.61,Exercise,NA,NA,Education,NA,NA,BMI,NA,NA,Education,NA,NA,31,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0
Exp,1895.137,5,6,I tried to remember the answers. I was a bit confused about which traits impacted on each other as there was a lot of detail in the diagram. But the presentation and sounds etc made it enjoyable.,21,1336.2549999999999,Sleeplessness,Depression,Worry,Alcohol,BMI,Sleeplessness,BMI,Education,NA,BMI,Diabetes,Sleeplessness,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
Ctr,978.417,6,5,"I was mostly motivated through my curiosity to see causal relationships. However, curiosity soon subsided and lack of goal or challenge made me lose interest. Perhaps if I had a limited number of ""interventions"" to try have the greatest impact I would be more invested. I liked seeing the ""chain reaction"" especially as it sped up on the more effective interventions. Presentation was good. It would of been nice to be able to rotate the simulation to orientate it how I rather than just dragging the traits (I'm aware this is quite a tall order).",18,2955.2309999999998,Sleeplessness,Loneliness,Worry,Alcohol,BMI,Loneliness,Alcohol,BMI,Education,BMI,Education,Sleeplessness,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1
Exp,1858.517,8,7,INtriguing - music made it more of an adventure. Fun to play with.,15,821.908,Sleeplessness,Depression,Worry,Alcohol,Intelligence,Education,BMI,Education,NA,Intelligence,Exercise,NA,31,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Exp,1607.151,5,4,I looked at the strength and sequence of arrows,20,1203.003,Alcohol,Intelligence,Not socialising,Alcohol,Intelligence,Education,Alcohol,BMI,Education,Intelligence,BMI,Education,36,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Ctr,644.96,4,4,"It’s very interesting and funny. However, I think a few more trait can be added such as obrsity, fear and altruism to make this system more complete.",16,1401.288,Sleeplessness,Depression,Worry,Alcohol,Intelligence,Education,BMI,Education,NA,Education,Sleeplessness,NA,81,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
Exp,170.999,7,6,It is a good idea to play with the game to in order to increase fancy and fun.,12,1183.717,Alcohol,Exercise,Smoking,Intelligence,Education,NA,Exercise,Education,NA,Alcohol,Exercise,Smoking,70,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1
